P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments
P1906	office held by head of state	political office that is fulfilled by the head of state of this item
P194	legislative body	legislative body governing this entity
P1999	UNESCO language status	degree of endangerment of a language conferred by the UNESCO Atlas of World Languages in Danger
P20	place of death	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character
P206	located in or next to body of water	body of water on or next to which a place is located
P208	executive body	branch of government for the daily administration of the territorial entity
P209	highest judicial authority	supreme judicial body within a country, administrative division, or other organization
P21	sex or gender	sex or gender identity of human or animal. For human: male, female, non-binary, intersex, transgender female, transgender male, agender, etc. For animal: male organism, female organism. Groups of same gender
P2184	history of topic	item about the historical development of a subject's topic, example: history of Argentina for Argentina. To list key events of the topic,
P22	father	male parent of the subject. For stepfather,
P2238	official symbol	official symbol of an organisation
P2283	uses	item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520])
P2341	indigenous to	place or ethnic group where a language, art genre, cultural tradition or expression, cooking style or food, or biological species or variety is found (or was originally found)
P2354	has list	Wikimedia list related to this subject
P237	coat of arms	subject's coat of arms
P2388	office held by head of the organization	position of the head of this item
P25	mother	female parent of the subject. For stepmother,
P2564	Köppen climate classification	indicates the characteristic climate of a place
P2579	studied in	subject is studied by this science or domain
P2587	has phoneme	the language's phonology includes this sound
P2596	culture	human culture or people (or several cultures) associated with this item
P26	spouse	the subject has the object as their spo
P2633	geography of topic	item that deals with the geography of the subject. Sample: Rio de Janeiro uses this property with value geography of Rio de Janeiro (Q10288853). For the location of a subject,
P2643	Carnegie Classification of Institutions of Higher Education	classification of colleges and universities in the United States
P2670	has part(s) of the class	the subject has one or more parts of the object class
P27	country of citizenship	the object is a country that recognizes the subject as its citizen
P2737	union of	every instance of this class is an instance of at least one class in that list of classes.
P276	location	location of the object, structure or event. In the case of an administrative entity as containing item
P279	subclass of	this item is a subclass (subset) of that item
P282	writing system	alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface
P2853	electrical plug type	standard plug type for mains electricity in a country
P291	place of publication	geographical place of publication of the edition 
P2936	language used	language widely used (spoken or written) in this place or at this event
P2959	permanent duplicated item	this item duplicates another item and the two can't be merged, as one Wikimedia project includes two pages, e.g. in different scripts or languages (only applies to some wikis, e.g.: cdowiki, gomwiki, nanwiki).
P2989	has grammatical case	case used in this language
P30	continent	continent of which the subject is a part
P301	category's main topic	primary topic of the subject Wikimedia category
P3075	official religion	official religion in this administrative entity
P3095	practiced by	type of agents that study this subject or work in this field
P31	instance of	that class of which this subject is a particular example and member
P3103	has tense	grammatical category expressing time reference of the language. To include a sample,
P3161	has grammatical mood	language has this grammatical mood/mode for signaling modality
P3179	territory overlaps	part or all of the area associated with (this) entity overlaps part or all of the area associated with that entity
P3373	sibling	the subject and the object have at least one common parent (brother, sister, etc. including half-siblings)
P3403	coextensive with	this item has the same boundary as the target item
P35	head of state	official with the highest formal authority in a country/state
P355	has subsidiary	subsidiary of a company or organization
P36	capital	seat of government of a country, province, state or other type of administrative territorial entity
P360	is a list of	common element between all listed items
P361	part of	object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of has part
P366	has use	main
P37	official language	language designated as official by this item
P3729	next lower rank	lower rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with criterion used
P3730	next higher rank	higher rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with criterion used
P38	currency	currency used by item
P3823	Ethnologue language status	language status identifier by Ethnologue.com using EGIDS scale
P39	position held	subject currently or formerly holds the object position or public office
P3969	signed form	manually coded form of this language
P40	child	subject has object as child. Do not
P407	language of work or name	language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name
P413	position played on team / speciality	position or specialism of a player on a team
P4132	linguistic typology	classification of languages according to their linguistic trait (as opposed to historical families like romance languages)
P417	patron saint	patron saint adopted by the subject
P418	has seal, badge, or sigil	links to the item for the subject's seal
P421	located in time zone	time zone for this item
P425	field of this occupation	field corresponding to this occupation or profession 
P452	industry	specific industry of company or organization
P457	foundational text	text through which an institution or object has been created or established
P461	opposite of	item that is in some way the opposite of this item
P462	color	color of subject
P463	member of	organization, club or musical group to which the subject belongs. Do not
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.
P4733	produced sound	item for the sound generated by the subject, for instance the cry of an animal
P485	archives at	the institution holding the subject's archives
P488	chairperson	presiding member of an organization, group or body
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)
P50	author	main creator(s) of a written work 
P5008	on focus list of Wikimedia project	property to indicate that an item is of particular interest for a Wikimedia project. This property does not add notability. Items should not be created with this property if they are not notable for Wikidata. See also P6104, P972, P2354.
P509	cause of death	underlying or immediate ca
P5109	has grammatical gender	specific form of noun class system of a language.
P5110	has grammatical person	grammatical feature relating to the identity of participants in an event
P5206	has conjugation class	conjugation pattern for group of verbs in the language.
P527	has part(s)	part of this subject
P530	diplomatic relation	diplomatic relations of the country
P5323	attested in	document or corpus where the lemma or form of a Lexeme entity, word or name is used, but not described
P54	member of sports team	sports teams or clubs that the subject represents or represented
P551	residence	the place where the person is or has been, resident
P5658	railway traffic side	indicates for a country or a railway line whether rail traffic usually runs on the left or right hand side
P5869	model item	defines which item is a best practice example of modelling a subject, which is described by the value of this property, usage instructions at Wikidata:Model items
P6	head of government	head of the executive power of this town, city, municipality, state, country, or other governmental body
P607	conflict	battles, wars or other military engagements in which the person or item participated
P61	discoverer or inventor	subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory
P610	highest point	point with highest elevation in a region, or on the path of a race or route
P6106	uses capitalization for	lexical classes and subclasses of words as well as other uses in the language where the first letter is written as a capital letter
P6216	copyright status	copyright status for intellectual creations like works of art, publications, software, etc.
P629	edition or translation of	is an edition or translation of this entity
P6364	official color	official colors chosen to represent or identify an item
P6379	has works in the collection	collection that has works of this person or organisation 
P641	sport	sport that the subject participates or participated in or is associated with
P6482	Image Archive, Herder Institute	link to the online database (Bildkatalog) of the image archive for the display of image sources
P6886	writing language	language in which the writer has written their work
P69	educated at	educational institution attended by subject
P706	located in/on physical feature	located on the specified (geo)physical feature. Should not be used when the value is only political/administrative
P710	participant	person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with object has role
P734	family name	part of full name of person
P735	given name	first name or another given name of this person
P737	influenced by	this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”
P740	location of formation	location where a group or organization was formed
P747	has edition or translation	link to an edition of this item
P749	parent organization	parent organization of an organization, opposite of subsidiaries
P750	distributed by	distributor of a creative work
P7763	copyright status as a creator	states if the body of work published during the lifetime of this creator is still copyrighted or in the public domain
P78	top-level Internet domain	Internet domain name system top-level code
P793	significant event	significant or notable events associated with the subject
P7937	form of creative work	structure of a creative work
P7938	associated electoral district	constituencies/electoral districts in which a place is located or is part of. If a municipality/county is split into or part of several districts: add several values.
P7959	historic county	traditional, geographical division of Great Britain and Ireland
P797	authority	entity having executive power on given entity
P800	notable work	notable scientific, artistic or literary work, or other work of significance among subject's works
P8138	located in statistical territorial entity	statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values
P828	has cause	underlying cause, entity that ultimately resulted in this effect
P832	public holiday	official public holiday that occurs in this place in its honor, usually a non-working day
P85	anthem	subject's official anthem
P8625	bibliography	Wikimedia page that gives a selection of relevant texts on the given topic
P8744	economy of topic	item that deals with the economy of the subject
P910	topic's main category	main Wikimedia category
P92	main regulatory text	text setting the main rules by which the subject is regulated
P921	main subject	primary topic of a work (see also P180: depicts)
P9241	demographics of topic	item that deals with demographics of the subject
P937	work location	location where persons or organisations were actively participating in employment, business or other work
P98	editor	person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript.
P1000	record held	notable record achieved by a person or entity, include qualifiers for dates held
P10019	equivalent in higher rank taxon	an equivalent class that is species-neutral or scoped to higher ranking taxa
P1002	engine configuration	configuration of an engine's cylinders
P10067	train melody	music that tells you that a train is leaving or arriving at a train station
P1011	excluding	usually used as a qualifier
P10113	IMA Mineral Symbol	IMA approved symbols (abbreviations) for mineral names
P1012	including	usually used as a qualifier
P10129	protective marking	label applied to an intellectual work to indicate how the document should be handled, particularly from a security or privacy perspective
P1013	criterion used	property by which a distinction or classification is made
P10176	type host	the host taxon from which a parasite type specimen was obtained
P10228	facilitates flow of	the cargo/substrate actively transported or passively channeled by a protein
P10241	individual of taxon	the taxon of an individual named organism (animal, plant)
P10254	associated cadastral district	cadastral district in which a place is located or is part of. Use only if distinct from administrative entities (P131) in predefined countries
P1026	academic thesis	thesis or dissertation written for a degree
P1028	donated by	person or organization who donated the object
P10280	category for honorary citizens of entity	category containing the honorary citizens of a settlement (administrative unit, country). Honorary citizens may or may not be citizens of the country
P1029	crew member(s)	person(s) that participated operating or serving aboard this vehicle
P10290	hotel rating	star rating of the hotel
P1030	light characteristic	description of a navigational light sequence or colour displayed on a nautical chart. Explicitly state white light (W)
P1032	digital rights management system	technologies  to control the use of digital content and devices after sale
P1035	honorific suffix	word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person
P1037	director / manager	person who manages any kind of group
P10374	computational complexity	the most specific complexity class this computational problem has been proved to belong to; if available, provide the tight complexity, otherwise both hardness and membership can be specified
P1038	relative	"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)"
P1040	film editor	person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture
P10408	created during	media file created during a specific event or occurrence (for use on Wikimedia Commons)
P1041	socket supported	socket for which the electronic part was made
P10449	trained by	personal trainer of the athlete
P1046	discovery method	way an exoplanet was discovered
P10476	identifies	this item uniquely and purposefully distinguishes instances of this class from each other
P1049	worshipped by	religion or group/civilization that worships a given deity
P1050	medical condition	any state relevant to the health of an organism, including diseases and positive conditions
P10527	documentation files at	institution that holds documentation files about the subject
P1053	ResearcherID	identifier for a researcher in a system for scientific authors, redirects to a Web of Science ID, along with P3829
P10568	maintains linking to	this collection resource maintains a consistent linking to this other collection resource
P1057	chromosome	chromosome on which an entity is localized
P10588	academic calendar type	academic calendar system used by an educational institution
P1060	disease transmission process	"process by which a pathogen is transmitted, equivalent to ""transmitted by"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002451"
P10606	notable role	role in a theatrical, motion picture, television, or other work that a performer is particularly known for
P10607	athletics program	the name of a school's athletics program, as opposed to individual teams in particular sports
P10611	has certification	states that an item has a certain certification
P10624	official observer status in organisation	Organisation by which the subject is granted observer status
P10630	medically indicated in case of	medical condition for which the net benefit of a medical procedure is expected to be positive
P1064	track gauge	spacing of the rails on a railway track
P10642	place of disappearance	place where people or things have disappeared; link with P746 (date of disappearance)
P10645	reports to	the subject position reports to this position
P10654	rack system	type of rack-and-cogwheel system used by a certain rack railway
P1066	student of	person who has taught this person
P10661	exhibited creator	intellectual or creative entity (person or organization) responsible for the elements exhibited
P10664	featured track(s)	soundtrack of this audiovisual work
P10672	raw material processed	raw or intermediate material, or a natural resource converted or consumed by a factory or industrial process, to manufacture a product, or to deliver energy (not to be confused with P186 that is used with products)
P1068	instruction set	set of machine code instructions on which a processor architecture is based
P10680	franchisor	one who licenses some or all of its know-how, procedures, intellectual property, use of its business model, brand, and rights to sell its branded products and services to a franchisee
P10695	introduced in	work that introduced this concept
P1071	location of creation	place where the item was conceived or made; where applicable, location of final assembly
P10714	WikiProject importance scale rating	rating of an article on a WikiProject's importance scale
P1072	readable file format	file format a program can open and read
P10729	finisher	finishing move used by an athlete in professional wrestling
P1073	writable file format	file format a program can create and/or write to
P1074	fictional or mythical analog of	used to link an entity or class of entities appearing in a creative work with the analogous entity or class of entities in the real world
P10741	dance style	dance style that the subject participates or participated in or is associated with
P1075	rector	senior official in an educational institution
P10754	distributed from	place or location where a good or service is distributed from
P1078	valvetrain configuration	configuration of the valvetrain utilized by this engine
P1079	launch contractor	organization contracted to launch the rocket
P1080	from narrative universe	subject's fictional entity is in the object narrative. See also P1441 (present in work) and P1445 (fictional universe described in)
P10806	orchestrator	person or body responsible for arranging a musical composition for orchestra
P10836	inker	comics artist responsible for outlining, interpreting, finalizing, and retracing a drawing by using a pencil, pen or a brush
P10837	penciller	artist who works on the creation of comic books, graphic novels, and similar visual art forms, with a focus on the initial pencil illustrations
P10906	foliage type	type of foliage characteristic of a plant, e.g. deciduous, semi-deciduous, semi-evergreen, or evergreen
P10946	contraindicated in case of	medical condition for which the net benefit of a medical procedure is expected to be negative
P10960	harvested organism(s)	taxon or common name for the organism(s) that are harvested in this fishery, industry, or other harvesting enterprise
P10994	KFCB classification (Kenya)	rating in the film classification system of Kenya
P110	illustrator	person drawing the pictures or taking the photographs in a book or similar work
P111	measured physical quantity	value of a physical property expressed as number multiplied by a unit
P11108	recorded participant	agent taking an active role as a participant in a nonfiction moving image or other recorded work
P11146	collection items at	institution (museum, collection, etc.) holding items (specimens or other objects) collected by the subject (collector) or at the subject (e.g. site). (use archive location P485 for the archives)
P11197	build system	build system used by a software during its development
P11220	fruit color	color of the fruit of a plant species, hybrid, or cultivar
P11231	has biological vector	a taxon which functions as a vector for this pathogenic biological group
P11245	YouTube handle	"unique identifier of a person, organization or channel on YouTube; do not include the ""@"" symbol"
P11279	is a number of	this entity is a number representing the quantity of this item
P113	airline hub	airport that serves as a hub for an airline
P1136	solved by	person that solved a scientific question
P1137	fossil found in this unit	fossils that are found in this stratigraphic unit
P11375	CSD Refcode	Unique alphanumeric ID assigned by the CCDC to a crystal structure when it is added to the CSD
P114	airline alliance	alliance the airline belongs to
P1145	Lagrangian point	libration point of an object (default: object-sun-earth)
P11463	travel advisory category	advisory category issued by a government regarding travel to another country or territory
P11484	does not use	item or concept not used by the subject but that could have been expected
P1149	Library of Congress Classification	subject classification number used in the Library of Congress Classification system; does not include the shelflisting portion assigned to individual publications
P11491	member of Roman tribe	Roman tribe in which one was inscribed
P1150	Regensburg Classification	identifier used for this class in the Regensburg Classification system
P1151	topic's main Wikimedia portal	Wikimedia portal associated with this topic
P11558	digital equivalent of	what the subject is the digital equivalent of
P1158	location of landing	location where the craft landed
P1160	ISO 4 abbreviation	standard abbreviation for periodicals in the International Organization for Standardization system
P11603	transcribed by	person who has made a copy of a manuscript text
P11611	Norwegian media rating	age rating system for motion pictures, video and TV content used in Norway
P1165	home world	home planet or natural satellite for a fictional character or species
P1170	transmitted signal type	type of signal transmitted by a device
P1171	approximation algorithm	method used to approximate a number
P11738	handled, mitigated, or managed by	approach or method that can be used to address an issue or problem
P11747	holds diplomatic passport of	country of the diplomatic passport held by the person
P11799	alternate universe counterpart	this fictional character/entity is an alternate universe counterpart of the subject
P11801	visited by	organisms attracted by this plant taxon and reported to visit it
P11849	first performance by	performer or performing group for the first performance of a work
P1189	Chinese Library Classification	identifier used for this class in the CLC
P1192	connecting service	service stopping at a station
P11922	verdict	decision made at the end of a trial by the judge or jury
P1199	mode of inheritance	manner in which a particular genetic trait or disorder is passed from one generation to the next
P1200	category for the water basin	the Wikimedia category associated with the basin of a bodies of water
P12002	has heir or beneficiary	people or organizations that received, or will receive, (all or part of) the subject's property or title
P1201	space tug	spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory
P12011	tribe	recognised membership in a society, mainly denoted by shared cultural heritage; for ethnicity use P172
P1202	carries scientific instrument	scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating
P12020	state of transmission	state in which a work is transmitted or its existence; for the state of its material witnesses, use P5816
P12081	‎WHO Aware Classification	antibiotic classification according to the World Health Organization
P12095	‎fonds	part of an archival collection which an item belongs to
P1210	supercharger	supercharger or turbocharger used by an engine
P1211	fuel system	fuel system that an engine uses
P12121	‎IBP 6-letter bird species alpha code	standardized six-letter alphabetic code for bird species by the Institute for Bird Populations
P12168	Torino scale	the Torino scale level for the astronomical object
P1227	astronomical filter	passband used to isolate particular sections of the electromagnetic spectrum
P12328	simulates	item simulated, imitated, or made to appear real by this item
P12330	Philippine middle name	maternal surname generally placed in the middle of this person's name
P12363	clerked for	this person has held a clerkship with the judge
P1243	ISRC	international standard code for uniquely identifying sound recordings and music video recordings
P12439	civil rank	non-military rank of a civil office holder in Russian Empire
P12452	‎appeals to	court or other body that hears appeals from subject's decisions
P12457	is invariant under	subject is unchanged by this process / function / group of transformation
P12475	top scorer	best scorer of a single season of a team sport's competition or the best ever scorer of the history of a competition
P12484	television judge	person who participates in a television show as a competition judge or mentor
P12505	topic's main thesaurus	main Wikimedia thesaurus for this topic
P12571	derived from base unit	the base unit(s) that this derived unit is derived from
P126	maintained by	person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order
P12616	leaf morphology	characterization of aspects of the shape of a plant’s leaves
P12617	‎creative director	person who makes high-level creative decisions
P12621	beneficial owner	natural person or persons who ultimately owns or controls a company or organisation
P1264	valid in period	time period when a statement is valid
P12650	electoral symbol	symbol allocated to a political party or candidate for use on ballots
P1268	represents	organization, individual, or concept that an entity represents
P12686	category for births in this time period	category item for people who were born in this time period
P12687	category for deaths in this time period	category item for people who died in this time period
P12693	source of transfer	entity that a transferred item is initially associated with, before this process associates it with another entity
P12694	destination of transfer	entity that a transferred item comes to be associated with as a result of this process
P12714	tartan	item's tartan; Tartan is a Scottish cloth pattern symbolizing a clan, region, or group.
P12763	taxon synonym of	name considered a preferred name, of which this item's taxon name is a synonym
P12764	replaced synonym of	taxon item which replaced this taxon name (now only a synonym) - inverse property of replaced synonym (for nom. nov.) (P694)
P12765	protonym of	taxon item of which this taxon name is a protonym (original name, for zoological taxa) - inverse property of original combination
P12766	basionym of	taxon item of which this taxon name is a basionym (original name, for botanical and similar items) - inverse property of basionym (P566)
P1278	Legal Entity Identifier	identifier for a legally distinct entity per ISO 17442
P12795	showrunner	person who is responsible for the day-to-day operation of a television show
P128	regulates (molecular biology)	process regulated by a protein or RNA in molecular biology
P1283	filmography	"item for the list of films a person has contributed to. Don't use it to add film items. Instead, add actors as ""cast member"" (P161) on items for films, directors with ""director"" (P57)"
P12830	music mood	qualifier carrying an emotion (mood) relevant to a musical audio recording
P12878	last appearance	last work featuring a fictional character or item
P1290	godparent	person who is the godparent of a given person
P12912	object of occurrence	specific object to which an occurrence or class of occurrences applies
P12913	object class of occurrence	class that includes the object(s) to which this occurrence (or class of occurrence) occurs or occurred
P12933	relates to sustainable development goal, target or indicator	indicates a relation between the subject and the SDGs or one of the components
P12969	game designer	person(s) who devised and developed this game
P12992	objects of occurrence have role	role that objects of this occurrence take on in the context of this occurrence
P12993	agents of action have role	role that agents of this action take on in the context of this action
P12994	agent class of action	class of items that may initiate this action or class of actions
P12995	agent of action	particular item that initiates this action or class of actions
P1302	primary destinations	major towns and cities that a road serves
P13047	leased to	person or organisation that holds or was granted a lease on the subject
P1308	officeholder	persons who hold and/or held an office or noble title
P1310	statement disputed by	entity that disputes a given statement
P1312	has facet polytope	facet of a polytope, in the next-lower dimension
P1318	proved by	person who proved something
P1321	place of origin (Switzerland)	lieu d'origine/Heimatort/luogo d'origine of a Swiss national. Not be confused with place of birth or place of residence
P1322	dual to	dual of a polytope, graph or curve
P1327	partner in business or sport	professional collaborator
P1336	territory claimed by	administrative divisions that claim control of a given area
P1340	eye color	color of the irises of a person's eyes
P1346	winner	"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles"
P1347	military casualty classification	allowed values:  killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification
P1349	ploidy	ploidy of a genome, a taxon or an anatomical entity
P135	movement	literary, artistic, scientific or philosophical movement or scene associated with this person or work. For political ideologies use P1142.
P1363	points/goal scored by	person who scored a point or goal in a game
P1383	contains settlement	settlement which an administrative division contains
P1387	political alignment	political position within the left–right political spectrum
P1389	product certification	"certification for a product, qualify with P1001 (""applies to jurisdiction"") if needed"
P1393	proxy	person authorized to act for another
P1398	structure replaces	the item this building or structure replaced, at the same geographic location
P1399	convicted of	crime a person was convicted of
P1403	original combination	for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published
P1406	script directionality	direction that a writing system goes in
P1408	licensed to broadcast to	place that a radio/TV station is licensed/required to broadcast to
P141	IUCN conservation status	conservation status assigned by the International Union for Conservation of Nature
P1414	GUI toolkit or framework	framework or toolkit a program uses to display the graphical user interface
P1419	shape	shape of an object
P1420	taxon synonym	name listed as synonym of this item's taxon name
P1423	template has topic	topic related to template
P1424	topic's main template	the main template relating to a topic
P1425	ecoregion (WWF)	ecoregion of the item (choose from WWF's list)
P1427	start point	starting place of this journey, flight, voyage, trek, migration etc.
P1429	has pet	pet that a person owns
P1431	executive producer	executive producer of a movie, TV show, or other piece of media or entertainment
P1433	published in	larger work that a given work was published in, like a book, journal or music album
P1434	takes place in fictional universe	the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe
P1437	plea	whether a person pleaded guilty, not guilty, etc.
P1444	destination point	destination for this route (journey, flight, sailing, exploration, migration, etc.)
P1445	fictional universe described in	"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>"
P1448	official name	official name of the subject in its official language(s)
P1449	nickname	informal name (for a pseudonym use P742)
P1451	motto text	short motivation sentence associated to item
P1455	list of works	link to the article with the works of a person; use P358 for discographies
P1462	standards body	organisation that published or maintains the standard governing an item
P1464	category for people born here	category item that groups people born in this place
P1465	category for people who died here	category item for people who died in this location
P1471	reporting mark	reporting mark for railroads in North America
P1472	Commons Creator page	"name of Commons Infobox template residing in ""Creator"" namespace on Wikimedia Commons"
P1476	title	published name of a work, such as a newspaper article, a literary work, piece of music, a website, or a performance work
P1477	birth name	full name of a person at birth, if different from their current, generally used name
P1478	has immediate cause	nearest, proximate thing that directly resulted in the subject as outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.
P1479	has contributing factor	thing that significantly influenced, but did not directly cause, this outcome or effect.  Used in conjunction with 'has cause' and 'has immediate cause'.  See '[[Help:Modeling causes]]'.
P149	architectural style	architectural style of a structure
P1531	hybrid of	parent of this hybrid breed or cultivar
P1533	family name identical to this given name	last name that is the same as a given first name. Use on items for given names
P1534	end cause	qualifier used together with the end date qualifier (P582) to specify the reason for the end
P1536	immediate cause of	immediate effect of this cause
P1537	contributing factor of	thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.
P1547	depends on software	subject software depends on object software
P1549	demonym	Name (proper noun) for people or things associated with a given place, usually based off the place name; multiple entries with qualifiers to distinguish are used to list variant forms by reason of grammatical gender or plurality.
P1557	manifestation of	inherent and characteristic embodiment of a given concept
P1558	tempo marking	qualitative indication about the speed or pace of a given musical piece (use P1725 for numerical tempo markings)
P1559	name in native language	name of a person in their native language
P1560	given name version for other gender	equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one
P1568	definition domain	"set of ""input"" or argument values for which a mathematical function is defined; subset of input set"
P157	killed by	person or organization who killed the subject
P1571	codomain	codomain of a function
P1574	exemplar of	property for manuscripts, autographs, incunabula, distinct printed copies
P1576	lifestyle	typical way of life of an individual, group, or culture
P1582	natural product of taxon	links a natural product with its source (animal, plant, fungal, algal, etc.)
P1591	defendant	person or organization accused at a trial
P1592	prosecutor	person representing the prosecuting authority, at a trial
P1593	defender	person representing the defendant, at a trial
P1594	judge	judge, magistrate or equivalent, presiding at a trial
P1595	charge	offence with which someone is charged, at a trial
P1596	penalty	penalty imposed by an authority
P1598	consecrator	bishop who presided as consecrator or co-consecrator of this bishop
P16	transport network	network the infrastructure is a part of
P1604	biosafety level	level of the biocontainment precautions required to isolate dangerous biological agents
P1605	has natural reservoir	host species for the pathogen in which it is endemic
